Nineteen Eighty-Four	George Orwell	1949
Nostromo	Joseph Conrad	1904
Now in November	Josephine Winslow Johnson	1934
Oblomov	Ivan Goncharov	1859
Of Human Bondage	W. Somerset Maugham	1915
Of Mice And Men	John Steinbeck	1937
Olive Kitteridge	Elizabeth Strout	2008
One Flew Over The Cuckoo's Nest	Ken Kesey	1962
One Hundred Years of Solitude	Gabriel García Márquez	1967
One Lonely Night	Mickey Spillane	1951
One of Ours	Willa Cather	1922
On The Beach	Nevil Shute	1957
On The Road	Jack Kerouac	1957
O Pioneers!	Willa Cather	1912
Orlando	Virginia Woolf	1928
Othello	William Shakespeare	1622
Pale Fire	Vladimir Nabokov	1989
Parade's End	Ford Madox Ford	1928
Pedro Páramo	Juan Rulfo	1955
Pilgrim's Progress	John Bunyan	1678
Pippi Longstocking	Astrid Lindgren	1945
Poems	Giacomo Leopardi	1818
Poems	Paul Celan	1952
Point Counter Point	Aldous Huxley	1928
Portnoy's Complaint	Philip Roth	1969
Portrait Of A Lady	Henry James	1881
Pride and Prejudice	Jane Austen	1813
Rabbit at Rest	John Updike	1990
Rabbit Is Rich	John Updike	1981
Rabbit, Run	John Updike	1960
Ragtime	E.L. Doctorow	1975
Rebecca	Daphne du Maurier	1938
Robinson Crusoe	Daniel Defoe	1719
Romeo And Juliet	William Shakespeare	1597
Scarlet Sister Mary	Julia Peterkin	1928
Schindler's List	Thomas Keneally	1982
Scoop	Evelyn Waugh	1937
Season of Migration to the North	Tayeb Salih	1971
Sense And Sensibility	Jane Austen	1811
Sentimental Education	Gustave Flaubert	1869
Shane	Jack Schaefer	1949
Siddhartha	Hermann Hesse	1922
Sister Carrie	Theodore Dreiser	1900
Slaughterhouse Five	Kurt Vonnegut	1969
So Big	Edna Ferber	1924
Someplace To Be Flying	Charles de Lint	1998
Something Wicked This Way Comes	Ray Bradbury	1962
Sometimes A Great Notion	Ken Kesey	1964
Song Of Solomon	Toni Morrison	1977
Sons and Lovers	D.H. Lawrence	1913
Sophie's Choice	William Styron	1976
Starship Troopers	Robert Heinlein	1959
Stories	Anton Chekhov	1886
Stories	Franz Kafka	1924
Stranger In A Strange Land	Robert Heinlein	1961
Suttree	Cormac McCarthy	1979
Tales of the South Pacific	James A. Michener	1947
Tender Is The Night	F. Scott Fitzgerald	1934
The Able McLaughlins	Margaret Wilson	1923
The Adventures Of Augie March	Saul Bellow	1953
The Adventures Of Huckleberry Finn	Mark Twain	1884
The Age of Innocence	Edith Wharton	1920
The Age Of Innocence	Edith Wharton	1920
The Alchemist	Paulo Coelho	1988
The Alexandria Quartet	Lawrence Durell	1962
The Amazing Adventures of Kavalier & Clay	Michael Chabon	2000
The Ambassadors	Henry James	1903
The Autobiography Of Alice B. Tokias	Gertrude Stein	1933
The Awakening	Kate Chopin	1899
The Beautiful And The Damned	F. Scott Fitzgerald	1920
The Book of Disquiet	Fernando Pessoa	1928
The Bostonians	Henry James	1886
The Bridge Of San Luis Rey	Thornton Wilder	1927
The Brief Wondrous Life of Oscar Wao	Junot Díaz	2007
The Brothers Karamazov	Fyodor Dostoyevsky	1880
The Caine Mutiny	Herman Wouk	1951
The Call Of The Wild	Jack London	1903
The Castle	Franz Kafka	1926
The Catcher In The Rye	J.D. Salinger	1951
The Collected Stories of Jean Stafford	Jean Stafford	1969
The Collected Stories of Katherine Anne Porter	Katherine Anne Porter	1965
The Color Purple	Alice Walker	1982
The Confessions of Nat Turner	William Styron	1967
The Cunning Man	Robertson Davies	1994
The Curious Incident Of The Dog In The Night-time	Mark Haddon	2003
The Da Vinci Code	Dan Brown	2003
The Day Of The Locust	Nathanael West	1939
The Death of Ivan Ilyich	Leo Tolstoy	1886
The Death Of The Heart	Elizabeth Bowen	1938
The Decameron	Giovanni Boccaccio	1353
The Devil to Pay in the Backlands	João Guimarães Rosa	1956
The Divine Comedy	Dante Alighieri	1321
The Door Into Summer	Robert Heinlein	1957
The Edge of Sadness	Edwin O'Connor	1961
The Executioner's Song	Norman Mailer	1979
The Fixer	Bernard Malamud	1966
The Fountainhead	Ayn Rand	1943
The French Lieutenant's Woman	John Fowles	1969
The Ginger Man	J.P. Donleavy	1955
The Golden Bowl	Henry James	1904
The Golden Notebook	Doris Lessing	1962
The Good Earth	Pearl S. Buck	1931
The Good Soldier	Ford Madox Ford	1915
The Grapes Of Wrath	John Steinbeck	1939
The Great Gatsby	F. Scott Fitzgerald	1925
The Handmaid's Tale	Margaret Atwood	1985
The Haunting Of Hill House	Shirley Jackson	1959
The Heart Is A Lonely Hunter	Carson McCullers	1940
The Heart Of The Matter	Graham Greene	1948
The Hitchhiker's Guide To The Galaxy	Douglas Adams	1979
The Hobbit	J.R.R. Tolkien	1937
The Hours	Michael Cunningham	1998
The House Of Mirth	Edith Wharton	1905
The Hunt For Red October	Tom Clancy	1984
The Idiot	Fyodor Dostoyevsky	1869
Their Eyes Were Watching God	Zora Neale Hurston	1937
The Jungle	Upton Sinclair	1906
The Keepers of the House	Shirley Ann Grau	1964
The Killer Angels	Michael Shaara	1974
The Kite Runner	Khaled Hosseini	2003
The Known World	Edward P. Jones	2003
The Late George Apley	John Phillips Marquand	1937
The Life of Gargantua and of Pantagruel	François Rabelais	1534
The Little Country	Charles de Lint	1991
The Lord Of The Flies	William Golding	1954
The Lord Of The Rings	J.R.R. Tolkien	1955
The Magic Mountain	Thomas Mann	1924
The Magnificent Ambersons	Booth Tarkington	1918
The Magus	John Fowles	1966
The Maltese Falcon	Dashiell Hammett	1930
The Mambo Kings Play Songs of Love	Oscar Hijuelos	1989
The Man Without Qualities	Robert Musil	1932
The Moon Is A Harsh Mistress	Robert Heinlein	1966
The Moviegoer	Walker Percy	1960
The Naked And The Dead	Norman Mailer	1948
The Old Man and the Sea	Ernest Hemingway	1952
The Old Wives' Tale	Arnold Bennett	1908
The Optimist's Daughter	Eudora Welty	1972
The Picture Of Dorian Gray	Oscar Wilde	1890
The Pillars Of The Earth	Ken Follett	1989
The Poisonwood Bible	Barbara Kingsolver	1998
The Possessed	Fyodor Dostoyevsky	1872
The Postman Always Rings Twice	James M. Cain	1934
The Prime Of Miss Jean Brodie	Muriel Spark	1961
The Puppet Masters	Robert Heinlein	1951
The Rainbow	D.H. Lawrence	1915
The Recognitions	William Gaddis	1955
The Red and the Black	Stendhal	1830
The Reivers	William Faulkner	1962
The Riddle Of The Sands	Erskine Childers	1903
The Road	Cormac McCarthy	2006
The Satanic Verses	Salman Rushdie	1988
The Secret Agent	Joseph Conrad	1907
The Sheltering Sky	Paul Bowles	1949
The Shipping News	E. Annie Proulx	1993
The Sound and the Fury	William Faulkner	1929
The Sound of the Mountain	Yasunari Kawabata	1954
The Stand	Stephen King	1978
The Stone Diaries	Carol Shields	1994
The Store	Thomas Sigismund Stribling	1932
The Stories of John Cheever	John Cheever	1978
The Stranger	Albert Camus	1942
The Studs Lonigan Trilogy	James T. Farrell	1935
The Sun Also Rises	Ernest Hemingway	1926
The Three Musketeers	Alexandre Dumas	1844
The Time Traveler's Wife	Audrey Niffenegger	2003
The Tin Drum	Günter Grass	1959
The Town	Conrad Richter	1950
The Travels of Jaimie McPheeters	Robert Lewis Taylor	1958
The Trial	Franz Kafka	1925
The Twilight Saga	Stephenie Meyer	2008
The Wapshot Chronicles	John Cheever	1957
The War Of The Worlds	H.G. Wells	1898
The Way Of All Flesh	Samuel Butler	1903
The Way West	A. B. Guthrie, Jr.	1949
The Wind In The Willows	Kenneth Grahame	1908
The Wings Of The Dove	Henry James	1902
The Wonderful Wizard Of Oz	L. Frank Baum	1900
The Wood Wife	Terri Windling	1997
The World According to Garp	John Irving	1978
The Worm Ouroboros	E.R. Eddison	1922
The Yearling	Marjorie Kinnan Rawlings	1938
Things Fall Apart	Chinua Achebe	1958
This Side Of Paradise	F. Scott Fitzgerald	1920
Tinkers	Paul Harding	2009
Tobacco Road	Erskine Caldwell	1932
To Kill A Mockingbird	Harper Lee	1960
To the Lighthouse	Virginia Woolf	1927
Trader	Charles de Lint	1997
Tristram Shandy	Laurence Sterne	1760
Tropic Of Cancer	Henry Miller	1934
Trustee From The Toolroom	Nevil Shute	1960
Ulysses	James Joyce	1922
Under The Net	Iris Murdoch	1954
Under The Volcano	Malcolm Lowry	1947
U.S.A.	John Dos Passos	1938
Vanity Fair	William Makepeace Thackeray	1848
V.	Thomas Pynchon	1963
War and Peace	Leo Tolstoy	1869
Watership Down	Richard Adams	1972
We The Living	Ayn Rand	1936
Where Angels Fear To Tread	E.M. Forster	1905
White Noise	Don DeLillo	1985
Wide Sargasso Sea	Jean Rhys	1966
Winesburg, Ohio	Sherwood Anderson	1919
Winnie the Pooh	A.A. Milne	1926
Wise Blood	Flannery O'Connor	1952
Women In Love	D.H. Lawrence	1920
Wuthering Heights	Emily Brontë	1847
Yarrow	Charles de Lint	1989
Years of Grace	Margaret Ayer Barnes	1930
Zen And The Art Of Motorcycle Maintenance	Robert Pirsig	1974
Zorba the Greek	Nikos Kazantzakis	1946
Zuleika Dobson	Max Beerbohm	1911
